Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Data Scientist with Database Expertise,Confidential,Riyadh,Full Time,Experienced,5.0,IT/Software Development,Data Science,10
Data Analyst,Royal Herbs,Haram,Full Time,Experienced,3.0,Analyst/Research,Analyst/Research,9
Data Entry Specialist,El-Dahan Company,Cairo,Full Time,Entry Level,1.0,Administration,Administration,3
Junior Data Analyst,Yodawy,Mohandessin,Full Time,Entry Level,1.0,Logistics/Supply Chain,Operations/Management,8
Data Analytics Specialist,MEAHCO - Saudi German Health,Katameya,Full Time,Experienced,3.0,Medical/Healthcare,Quality,8
Data Entry Clerk,Vceram,Dokki,Full Time,Experienced,Unknown,Accounting/Finance,Administration,8
Data Entry & Sourcing Specialist (Hotel / Supplier Sourcing – Dynamic & Static),Bookntrvl,Heliopolis,Full Time,Experienced,3.0,Administration,Customer Service/Support,8
Data Entry,Kasrawy Group,Abu Rawash,Full Time,Entry Level,1.0,Administration,Attention to Detail,8
Data Scientist & Instructor,EpsilonAI,Nasr City,Full Time,Entry Level,0.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Analyst & Instructor (Excel & Power BI),EpsilonAI,Nasr City,Full Time,Entry Level,0.0,IT/Software Development,Analyst/Research,8
Master Data Specialist,Confidential,Cairo,Full Time,Experienced,1.0,Administration,Logistics/Supply Chain,8
Receptionist - Real Estate,Gulf Data International,Heliopolis,Full Time,Experienced,1.0,Administration,Administration,9
Recruitment Officer,Gulf Data International,Heliopolis,Internship,Entry Level,Unknown,Administration,Recruitment,7
IT Infrastructure Specialist – Data Center Operations,Confidential,Riyadh,Full Time,Experienced,5.0,IT/Software Development,ITIL V3,6
Scanning Produducts Data Entry,WeLyra,New Cairo,Full Time,Entry Level,1.0,Other,Teamwork,8
Data Scientist Team Leader,GB Corp,Giza,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,4
Senior Data Scientist,Egabi FSI,Sheraton,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,8
Data Entry,Integrated Façade Solution,Heliopolis,Full Time,Entry Level,0.0,Administration,Data Entry,4
Senior Data Base Engineer,Amreyah Cement,Cairo,Full Time,Experienced,3.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Analyst,Sun Pyramids Tours,Haram,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,8
KPIs & Data Performance Analyst,Confidential,Cairo,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,IT/Software Development,8
Real Estate Sales Agent,Gulf Data International,Sheikh Zayed,Full Time,Experienced,3.0,Business Development,Customer Service/Support,6
"Big Data Analytics, Hadoop (Cloudera)",MOBILY INFOTECH LTD INDIA,New Cairo,Full Time,Entry Level,1.0,Engineering - Telecom/Technology,Cloudera,2
Data Entry Clerk (Night Shift),Option Travel,Maadi,Full Time,Experienced,2.0,Administration,Data entry,2
Data Analyst,Aman,Cairo,Full Time,Entry Level,1.0,IT/Software Development,Sales/Retail,6
Big Data Engineer,Efada Technology,6th of October,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,8
Data Entry Clerk,Alwaselah For Recruiting Egyptian Abroad,Nasr City,Full Time,Entry Level,Unknown,Administration,Human Resources,8
"Senior Data Scientist – NLP, LLMs & Agentic AI",WUZZUF,Cairo,Full Time,Experienced,6.0,Engineering - Telecom/Technology,Data Science,2
Data Entry | Alexandria Start ASAP,Appstact,Sidi Gaber,Full Time,Entry Level,1.0,Writing/Editorial,Microsoft Word,7
Data Analyst,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,2.0,Analyst/Research,Sales/Retail,8
Customs Clearance Data Entry,realme,Nasr City,Full Time,Entry Level,Unknown,Administration,Legal,8
Data Management & Analytics Supervisor,Nahdet Misr Publishing Group,Giza,Full Time,Experienced,5.0,Operations/Management,Data Management,6
Data Analyst,Lecico Egypt,Alexandria,Full Time,Experienced,3.0,IT/Software Development,Analyst/Research,8
Data Classification Consultant,Help AG,Abu Dhabi,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,8
Data Entry Specialist,Sani Pure,Cairo,Full Time,Entry Level,1.0,Administration,Administration,9
Data entry,Confidential,10th of Ramadan City,Full Time,Experienced,1.0,Administration,Customer Service/Support,8
Data Entry Clerk,Confidential,Dokki,Full Time,Entry Level,1.0,Administration,Customer Service/Support,8
Data Engineer (Teradata / ETL),AeliaSoft,Cairo,Full Time,Experienced,2.0,Business Development,IT/Software Development,8
Data Analyst,EGEC,Haram,Full Time,Experienced,2.0,Accounting/Finance,Engineering - Construction/Civil/Architecture,8
Data Entry,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Entry Level,1.0,Administration,Customer Service/Support,6
Customer Support & Data Entry Specialist,Confidential,New Cairo,Full Time,Entry Level,Unknown,Customer Service/Support,Remote work,7
Data Scientist (Analytics & Validation),Confidential AI Legal Tech Platform,New Cairo,Full Time,Entry Level,0.0,IT/Software Development,Data Science,5
Junior Data Pipeline Engineer / Data Scientist,xMap,Cairo,Full Time,Entry Level,1.0,IT/Software Development,Analyst/Research,8
Data Quality Engineer,Citylogix ME,Katameya,Full Time,Experienced,Unknown,IT/Software Development,QA/Testing,1
DevOps Engineer - Data Infrastructure,Citylogix ME,Katameya,Full Time,Experienced,Unknown,Installation/Maintenance/Repair,IT/Software Development,5
Financial Analyst - Data Analyst,Tradeline International,Cairo,Full Time,Experienced,2.0,Accounting/Finance,Financial Analysis,8
Data Management Specialist,ariika,New Cairo,Full Time,Manager,5.0,Administration,IT/Software Development,7
Data Analysis Manager Retail Fashion,Coup,New Nozha,Full Time,Manager,4.0,Operations/Management,Sales/Retail,5
Commercial Specialist ( Junior Data Analyst ),realme,Nasr City,Full Time,Entry Level,Unknown,Business Development,Analyst/Research,8
Data Science Instructor (Part-Time),Senior Steps,Nasr City,Part Time,Experienced,1.0,R&D/Science,IT/Software Development,8
Data Center Operation Engineer,GPX Egypt,New Cairo,Full Time,Entry Level,0.0,Engineering - Telecom/Technology,Engineering - Telecom/Technology,9
Data Center Facility Engineer,GPX Egypt,New Cairo,Full Time,Entry Level,0.0,Engineering - Telecom/Technology,Engineering - Telecom/Technology,4
Data Entry & ERP Implementation Specialist,Mashareq,New Cairo,Full Time,Experienced,2.0,Administration,Data Entry,8
Senior Data Center Engineer,Mobi Egypt,Maadi,Full Time,Experienced,Unknown,Engineering - Telecom/Technology,Data Center Operations,6
Data Center Controller / Admin System,Tarabot Express,New Cairo,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,9
Stock Control and Data Entry Specialist,Monkie,Sheikh Zayed,Full Time,Entry Level,1.0,Logistics/Supply Chain,Fashion,7
Data Analyst,Junior-Tex,Obour City,Full Time,Entry Level,0.0,Analyst/Research,Data Analysis,8
Group HRIS Data Analysis Supervisor,As-Salam International Hospital,Maadi,Full Time,Experienced,4.0,Human Resources,Analyst/Research,6
Repair Order Specialist ( Data Analyst ),OPPO Egypt,Nasr City,Full Time,Entry Level,1.0,Customer Service/Support,Analyst/Research,7
Sales Account Manager,Datum International Data Systems,Heliopolis,Full Time,Experienced,Unknown,Customer Service/Support,IT/Software Development,8
Technical Support Engineer,Datum International Data Systems,Heliopolis,Full Time,Experienced,2.0,Installation/Maintenance/Repair,Technical Support,7
Sales Engineer,Gulf Data International,Nasr City,Full Time,Experienced,3.0,Sales/Retail,Engineering - Telecom/Technology,8
Financial Data Entry / Junior Accountant,Confidential,New Cairo,Full Time,Experienced,2.0,Accounting/Finance,Microsoft Office,6
Data Analytics Engineer,Erada,Maadi,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,8
Project Coordinator,Gulf Data International,Nasr City,Full Time,Experienced,1.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Recruitment Specialist,Gulf Data International,Heliopolis,Full Time,Experienced,1.0,Human Resources,Talent Sourcing,7
Insurance representative,Gulf Data International,Cairo,Full Time,Entry Level,0.0,Customer Service/Support,Sales/Retail,8
Telesales – Data Verification Executive,Al Hayat Medical Clinics,Nasr City,Full Time,Experienced,2.0,Sales/Retail,CRM,7
Data & BI Engineering Technical lead,Al Ahly Momkn for e-payment,Maadi,Full Time,Experienced,6.0,IT/Software Development,Engineering - Telecom/Technology,7
Data Analyst,Tie House,New Cairo,Full Time,Experienced,1.0,Analyst/Research,Financial Data Analysis,4
Business Analytics Lead,WUZZUF,Cairo,Full Time,Experienced,6.0,Engineering - Telecom/Technology,Data Analytics,2
Academic Operation Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Operations/Management,Sales/Retail,8
Senior Cost Accountant,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,4.0,Accounting/Finance,Accounting/Finance,9
Automotive Showroom Manager,Nile Projects & Trading,New Cairo,Full Time,Manager,Unknown,Sales/Retail,Automotive Sales,8
Senior ERP Technical Developer – Dynamics 365 F&O,Circle K,Sheraton,Full Time,Experienced,5.0,IT/Software Development,Engineering - Telecom/Technology,8
Operations & Account Manager,Confidential,New Cairo,Full Time,Entry Level,1.0,Administration,Business Development,8
Cost Accountant,Al monairy,10th of Ramadan City,Full Time,Experienced,3.0,Accounting/Finance,Cost Accounting,8
Marketing & Sales Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Marketing/PR/Advertising,Sales/Retail,8
Call Center & Customer Service Manager,Idea,Sheikh Zayed,Full Time,Manager,7.0,Customer Service/Support,Operations/Management,8
Product Manager,Confidential,Cairo,Full Time,Experienced,2.0,IT/Software Development,Sales/Retail,8
English - Quality Analyst,Intouch CX,Sheikh Zayed,Full Time,Entry Level,1.0,Customer Service/Support,Quality,5
WMS Specialist,Marbella For Food Industry,6th of October,Full Time,Experienced,2.0,Operations/Management,Operations/Management,4
Accounting - Manager,Maxevia Corporate,Nasr City,Full Time,Manager,5.0,Accounting/Finance,Administration,8
Senior Financial Analyst,Confidential,10th of Ramadan City,Full Time,Experienced,10.0,Accounting/Finance,Analyst/Research,6
Senior MRP Engineer,Kasrawy Group,6th of October,Full Time,Experienced,5.0,Logistics/Supply Chain,Material Requirements Planning (MRP),8
Survey Engineer.,Professional Service - Proserv,6th of October,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Surveying,1
