Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
Data Scientist with Database Expertise,Confidential,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Data Science,"['Database Management', 'Python', 'Data Analysis', 'Machine Learning', 'Data Visualization', 'SQL', 'ETL (Extract, Transform, Load)', 'Big Data Technologies']"
Data Analyst,Royal Herbs,"Haram, Giza, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Analyst/Research,Analyst/Research,"['Engineering - Telecom/Technology', 'Data Analysis', 'Statistical Modeling', 'Data Visualization', 'SQL', 'Excel', 'Power BI', 'Tableau', 'Problem Solving']"
Data Entry Specialist,El-Dahan Company,"Cairo, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Administration,Administration,"['Data Entry', 'ERP', 'Microsoft Excel']"
Junior Data Analyst,Yodawy,"Mohandessin, Giza, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain,Operations/Management,"['Analyst/Research', 'Data Analysis', 'SQL', 'Reporting', 'Communication', 'Negotiation', 'Financial Data Analysis', 'Multitasking']"
Data Analytics Specialist,MEAHCO - Saudi German Health,"Katameya, Cairo, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Medical/Healthcare,Quality,"['Analyst/Research', 'SQL', 'python development', 'SAS', 'Tableau', 'Power BI', 'QlikView', 'Microsoft Excel']"
Data Entry Clerk,Vceram,"Dokki, Giza, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,Accounting/Finance,Administration,"['Customer Service/Support', 'Data Entry', 'Database Management', 'Microsoft Excel', 'Attention to Detail', 'Organizational Skills', 'Time Management', 'Problem Solving']"
Data Entry & Sourcing Specialist (Hotel / Supplier Sourcing – Dynamic & Static),Bookntrvl,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Administration,Customer Service/Support,"['Purchasing/Procurement', 'Contract Negotiation', 'Contracts Management', 'Data Entry', 'Sourcing Specialist', 'Supplier Sourcing', 'Hotel Management', 'Dynamic Sourcing']"
Data Entry,Kasrawy Group,"Abu Rawash, Giza, Egypt",Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Administration,Attention to Detail,"['Data Entry', 'Microsoft Excel', 'Communication', 'Teamwork', 'Problem Solving', 'Time Management', 'Database Management', 'Organizational Skills']"
Data Scientist & Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Training/Instructor', 'Data Science', 'Machine Learning', 'Python Programming', 'Teaching & Instruction', 'Curriculum Development', 'Statistical Analysis', 'Communication']"
Data Analyst & Instructor (Excel & Power BI),EpsilonAI,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Analyst/Research,"['Education/Teaching', 'Data Analysis', 'Database SQL Server', 'MySQL', 'Data Analytics', 'Big Data Analytics', 'Microsoft Excel', 'Power BI']"
Master Data Specialist,Confidential,"Cairo, Egypt",Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Administration,Logistics/Supply Chain,"['Analyst/Research', 'Master Data Management', 'Data Analysis', 'ERP Systems', 'Problem Solving', 'Microsoft Excel', 'Reporting', 'communication skills']"
Receptionist - Real Estate,Gulf Data International,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced,1 - 2 Yrs of Exp,Administration,Administration,"['Customer Service/Support', 'Reception management', 'Customer service', 'Communication', 'Organization', 'Multitasking', 'Microsoft Office', 'Time management', 'Attention to detail']"
Recruitment Officer,Gulf Data International,"Heliopolis, Cairo, Egypt",Internship,On-site,Entry Level,Administration,Administration,Recruitment,"['Talent Acquisition', 'Interviewing', 'Sourcing', 'Communication', 'Organizational Skills', 'Negotiation', 'Employer Branding']"
IT Infrastructure Specialist – Data Center Operations,Confidential,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,ITIL V3,"['CompTIA A+', 'Microsoft Azure', 'AWS', 'Hyper-V', 'TCP/IP, DNS']"
Scanning Produducts Data Entry,WeLyra,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Other,Teamwork,"['Data Entry', 'Microsoft Office', 'Financial Data Analysis', 'Database', 'Databases', 'Mysql Database', 'Database SQL Server', 'Data Analysis']"
Data Scientist Team Leader,GB Corp,"Giza, Egypt",Full Time,On-site,Experienced,3 - 7 Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Data Science', 'Machine Learning', 'Big Data Technologies']"
Senior Data Scientist,Egabi FSI,"Sheraton, Cairo, Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Entry,Integrated Façade Solution,"Heliopolis, Cairo, Egypt",Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Administration,Data Entry,"['Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'Fast Typing']"
Senior Data Base Engineer,Amreyah Cement,"Cairo, Egypt",Full Time,On-site,Experienced,3 - 4 Yrs of Exp,IT/Software Development,Engineering - Telecom/Technology,"['computer science', 'IT', 'Software Engineering', 'database', 'database engineering', 'Administration', 'Microsoft', 'MySQL']"
Data Analyst,Sun Pyramids Tours,"Haram, Giza, Egypt",Full Time,On-site,Experienced,2+ Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'Dashboard Development', 'Data Analysis', 'Data Visualization', 'SQL', 'Excel', 'Python', 'Statistical Analysis']"
KPIs & Data Performance Analyst,Confidential,"Cairo, Egypt",Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Engineering - Construction/Civil/Architecture,IT/Software Development,"['Engineering - Telecom/Technology', 'Data Analysis', 'KPI Development', 'Business Intelligence', 'Data Visualization', 'SQL', 'Statistical Analysis', 'Reporting']"
Real Estate Sales Agent,Gulf Data International,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Business Development,Customer Service/Support,"['Sales/Retail', 'Lead Generation', 'Negotiation', 'Real Estate Sales', 'CRM Software', 'Time Management']"
"Big Data Analytics, Hadoop (Cloudera)",MOBILY INFOTECH LTD INDIA,"New Cairo, Cairo, Egypt",Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,Engineering - Telecom/Technology,Cloudera,"['Big Data Analytics', 'Hadoop']"
Data Entry Clerk (Night Shift),Option Travel,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Administration,Data entry,"['Attention to detail', 'Time management']"
Data Analyst,Aman,"Cairo, Egypt",Full Time,Hybrid,Entry Level,1 - 2 Yrs of Exp,IT/Software Development,Sales/Retail,"['Microsoft Excel', 'Power BI', 'Mysql Database', 'Database', 'Data Analysis', 'Data Analytics']"
Big Data Engineer,Efada Technology,"6th of October, Giza, Egypt",Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Analyst/Research,"['Engineering - Telecom/Technology', 'BI', 'Computer Science', 'Database', 'Information Technology (IT)', 'Oracle', 'SQL', 'PLSql']"
Data Entry Clerk,Alwaselah For Recruiting Egyptian Abroad,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,2+ Yrs of Exp,Administration,Human Resources,"['Tourism/Travel', 'Data entry', 'Attention to detail', 'Microsoft Excel', 'Database management', 'Time management', 'Organizational skills', 'Communication']"
"Senior Data Scientist – NLP, LLMs & Agentic AI",WUZZUF,"Cairo, Egypt",Full Time,Hybrid,Experienced,6 - 9 Yrs of Exp,Engineering - Telecom/Technology,Data Science,"['NLP', 'LLMs']"
Data Entry | Alexandria Start ASAP,Appstact,"Sidi Gaber, Alexandria, Egypt",Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Writing/Editorial,Microsoft Word,"['Microsoft Powerpoint', 'Data Entry', 'attention to details', 'strong organizational skills', 'Time Management', 'Real Time Management', 'Time Scheduling']"
Data Analyst,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Analyst/Research,Sales/Retail,"['Analysis', 'Administration', 'Data Analysis', 'Finance', 'business', 'Sales Analysis', 'Microsoft Excel', 'Data']"
Customs Clearance Data Entry,realme,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level,1+ Yrs of Exp,Administration,Legal,"['Logistics/Supply Chain', 'Customs documentation', 'Attention to detail', 'Microsoft Excel', 'Time management', 'Problem-solving', 'Organizational skills', 'Record keeping']"
Data Management & Analytics Supervisor,Nahdet Misr Publishing Group,"Giza, Egypt",Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Operations/Management,Data Management,"['Data Analytics', 'Team Leadership', 'Data Visualization', 'Communication', 'Negotiation', 'Problem Solving']"
Data Analyst,Lecico Egypt,"Alexandria, Egypt",Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Analyst/Research,"['Analyst', 'Data Analysis', 'Information Technology (IT)', 'Science', 'English', 'Data Analyst', 'Computer Science', 'Analysis']"
